ID,My Deck,Opponent,Opp Deck,Opp Category,Play / Draw,Wins,Losses,Match Wins,Tot. Matches,Win Rate,Meta % (Leagues),Rolling Average,Date,Tournament,Comment
85,RG Saga Lands,Tanner,Sneak & Show,Show & Tell,D,2,0,1,15,53%,7%,90%,7/15/2021,Weekly,
86,RG Saga Lands,Collin,Elves,Tribal,P,2,0,1,22,73%,10%,100%,7/15/2021,Weekly,
87,RG Saga Lands,James,Pox,Pox,P,2,1,1,7,100%,3%,100%,7/15/2021,Weekly,
88,Bant Lands,ManWithBrisk,Goblins,Tribal,D,2,1,1,22,73%,10%,100%,7/18/2021,League,
89,Bant Lands,Bicyclops,Dredge,Graveyard,P,2,1,1,11,73%,5%,100%,7/18/2021,League,
90,Bant Lands,The_Gjallarhorn,Death & Taxes,White Creatures,D,2,0,1,7,71%,3%,100%,7/18/2021,League,
91,Bant Lands,McPwnr,Lands,Lands,D,1,2,0,8,63%,4%,90%,7/18/2021,League,
92,Bant Lands,Alakhai,Madness,Madness,D,0,2,0,7,71%,3%,80%,7/18/2021,League,
93,Sphere Lands,clone103,Urza Echo,Artifact Storm,D,2,1,1,4,25%,2%,80%,7/19,League,
94,Sphere Lands,DukeVitro,BUG Control,Non-W Control,D,1,2,0,8,75%,4%,70%,7/19,League,
95,Sphere Lands,Xorn9,Ruby Storm,Storm,D,2,1,1,9,56%,4%,70%,7/19,League,
96,Sphere Lands,chouqin,Elves,Tribal,D,0,2,0,22,73%,10%,60%,7/19,League,
97,Sphere Lands,faustosouza,GW Depths,GW Depths,D,0,2,0,9,67%,4%,50%,7/19,League,
98,BUG Bird Lands,LAFF,Sneak & Show,Show & Tell,P,2,1,1,15,53%,7%,50%,7/20,League,
99,BUG Bird Lands,youmeandiowa,DETH,Brew,P,2,1,1,16,63%,8%,50%,7/20,League,
100,BUG Bird Lands,xdragon55x,Colorless Cloudpost,Big Mana,P,1,2,0,9,56%,4%,40%,7/20,League,
101,BUG Bird Lands,haimu,Hogaak,Graveyard,P,2,0,1,11,73%,5%,50%,7/21,League,
102,BUG Bird Lands,saburo0827,Grixis Delver,Delver,D,2,1,1,24,88%,11%,60%,7/21,League,
103,Bant Lands,DEANmachine,Merfolk,Tribal,D,2,0,1,22,73%,10%,60%,7/21,League,
104,Bant Lands,korgano,ANT,Storm,D,0,2,0,9,56%,4%,60%,7/21,League,
105,Bant Lands,Grantfly,Madness,Madness,D,2,0,1,7,71%,3%,60%,7/21,League,
106,Bant Lands,caggii,Sneak & Show,Show & Tell,D,2,1,1,15,53%,7%,70%,7/21,League,
107,Bant Lands,jjkbb2005,UB Reanimate,Graveyard,D,0,2,0,11,73%,5%,70%,7/21,League,
108,RG Saga Lands,Travis,B Reanimate,Graveyard,D,2,1,1,11,73%,5%,70%,7/22,Weekly,
109,RG Saga Lands,Neil,Turbo Depths,BGx Depths,P,2,1,1,3,67%,1%,70%,7/22,Weekly,
110,RG Saga Lands,Peter,Moon Stompy,Chalice,P,2,0,1,5,40%,2%,80%,7/22,Weekly,
111,RG Saga Lands,Sanguk,Deadguy Ale,Brew,D,2,0,1,16,63%,8%,80%,7/25,Weekly,
112,RG Saga Lands,Nate C,B Reanimate,Graveyard,D,2,0,1,11,73%,5%,80%,7/25,Weekly,
113,RG Saga Lands,Christian,UR Delver,Delver,P,2,1,1,24,88%,11%,80%,7/25,Weekly,
114,RG Saga Lands,Sam,Death & Taxes,White Creatures,D,2,1,1,7,71%,3%,90%,7/25,Weekly,
115,Bant Lands,StevveLynx,Elves,Tribal,D,0,2,0,22,73%,10%,80%,7/25,League,
116,Bant Lands,TonyScapone,Ruby Storm,Storm,D,1,2,0,9,56%,4%,70%,7/25,League,
117,Bant Lands,CTlegacy88,Madness,Madness,D,2,1,1,7,71%,3%,80%,7/25,League,
118,Bant Lands,jetlag,Death & Taxes,White Creatures,D,1,2,0,7,71%,3%,70%,7/25,League,
119,Bant Lands,PeterLemonJellohBrah,Pox,Pox,D,2,0,1,7,100%,3%,70%,7/25,League,
120,RG Lands,Carlso,Deadguy Ale,Brew,D,0,2,0,16,63%,8%,60%,7/26,Weekly,
121,RUG Lands,sentania,Bant Control,UW,P,2,0,1,16,69%,8%,60%,7/28,League,
122,RUG Lands,JoaoCelestini,Death & Taxes,White Creatures,P,2,0,1,7,71%,3%,60%,7/28,League,
123,RUG Lands,LewisCBR,UR Delver,Delver,P,2,0,1,24,88%,11%,60%,7/28,League,
124,RUG Lands,MathiasHardStyle,UR Delver,Delver,P,2,0,1,24,88%,11%,60%,7/28,League,
125,RUG Lands,NathanLipetz,4c Control,Non-W Control,D,1,2,0,8,75%,4%,60%,7/28,League,
126,RUG Lands,Shannon,Jeskai Control,UW,D,2,0,1,16,69%,8%,70%,7/29,Weekly,
127,RUG Lands,Ben Stark,Belcher,Storm,D,2,0,1,9,56%,4%,70%,7/29,Weekly,
128,RUG Lands,Nick C,Jeskai Tempo,Jeskai Tempo,D,2,0,1,4,75%,2%,80%,7/29,Weekly,
129,RUG Lands,terapiadelacabala,Bant Control,UW,D,2,0,1,16,69%,8%,80%,7/31,Tournament,
130,RUG Lands,umeck,UB Delver,Delver,P,2,1,1,24,88%,11%,90%,7/31,Tournament,
131,RUG Lands,Julian23,Elves,Tribal,D,2,0,1,22,73%,10%,90%,7/31,Tournament,
132,RUG Lands,basuta,Urza Echo,Artifact Storm,D,1,2,0,4,25%,2%,80%,7/31,Tournament,
133,RUG Lands,fluffy21,Elves,Tribal,D,0,2,0,22,73%,10%,70%,7/31,Tournament,
134,RUG Lands,paxxu,UWx Stoneblade,UW,D,1,2,0,16,69%,8%,60%,7/31,Tournament,
135,RUG Lands,Draccon136,Painter,Painter,D,2,1,1,6,67%,3%,70%,7/31,Tournament,
136,RUG Lands,Slow,Food Chain,Combo-Control,D,2,1,1,5,20%,2%,70%,8/1,Weekly,
137,RUG Lands,Pax,Lands,Lands,D,2,0,1,8,63%,4%,70%,8/1,Weekly,
138,RUG Lands,Collin,Elves,Tribal,D,2,0,1,22,73%,10%,70%,8/1,Weekly,
139,RUG Lands,Lee,Jeskai Delver,Delver,P,2,1,1,24,88%,11%,70%,8/1,Weekly,
140,RUG Lands,mgio,White Stax,Brew,P,2,1,1,16,63%,8%,70%,8/4,League,
141,RUG Lands,M_DiMar,Bant Control,UW,D,2,0,1,16,69%,8%,70%,8/4,League,
142,RUG Lands,Stef,Painter,Painter,D,0,2,0,6,67%,3%,70%,8/5,Weekly,
143,RUG Lands,Vilo,ANT,Storm,D,2,1,1,9,56%,4%,80%,8/5,Weekly,
144,RUG Lands,Travis,Sneak & Show,Show & Tell,P,0,2,0,15,53%,7%,80%,8/5,Weekly,
145,RUG Lands,m-boy,BR Reanimator,Graveyard,D,2,1,1,11,73%,5%,80%,8/7, League,
146,RUG Lands,Ark4n,Jeskai Delver,Delver,D,2,0,1,24,88%,11%,80%,8/7, League,
147,RUG Lands,ziggy_stardust,Affinity,Brew,P,2,0,1,16,63%,8%,80%,8/7, League,
148,RUG Lands,Flakmonkey,Pox,Pox,D,2,1,1,7,100%,3%,80%,8/7,League,
