ID,My Deck,Opponent,Opp Deck,Opp Category,Play / Draw,Wins,Losses,Match Wins,Tot. Matches,Win Rate,Meta % (Leagues),Rolling Average,Date,Tournament,Comment
366,UG Uro Lands,juanjiqd,Hogaak,Graveyard,P,2,0,1,66,65%,8%,50%,4/8,League,
367,UG Uro Lands,Thienertmas,Burn,Burn,D,2,1,1,16,63%,2%,50%,4/8,League,
368,UG Uro Lands,lynnchalice,4c Control,Non-W Control,D,2,1,1,59,63%,7%,60%,4/8,League,
369,Karn Lands,BananasThrower,4c Control,Non-W Control,P,2,1,1,59,63%,7%,60%,4/10,League,
370,Karn Lands,Flow_True,W Eldrazi,White Creatures,D,0,2,0,35,66%,4%,50%,4/10,League,
371,Karn Lands,Aluren85,Eldrazi Stompy,Chalice,D,0,2,0,28,57%,4%,50%,4/10,League,
372,Karn Lands,SamyOddJob,4c Loam,Knight,D,2,1,1,33,52%,4%,60%,4/10,League,
373,Karn Lands,-jax-,Oops,Storm,D,1,2,0,54,35%,7%,60%,4/10,League,
374,RUG Uro Lands,93cm,Dredge,Graveyard,D,2,0,1,66,65%,8%,70%,4/10,League,
375,RUG Uro Lands,rphamill,UWx Control,UW,P,1,0,1,41,44%,5%,70%,4/10,League,
376,RUG Uro Lands,laywer,Doomsday,Doomsday,P,2,1,1,19,58%,2%,70%,4/10,League,
377,RUG Uro Lands,Verr,BR Reanimator,Graveyard,D,2,0,1,66,65%,8%,70%,4/10,League,
378,RUG Uro Lands,alexeezayyy,Dryad,Brew,P,1,2,0,125,58%,16%,60%,4/10,League,
379,UG Uro Lands,KabukimanX,Moon Stompy,Chalice,P,1,2,0,28,57%,4%,50%,4/10,League,
380,UG Uro Lands,MahfuzVanGoh,Dredge,Graveyard,P,1,2,0,66,65%,8%,50%,4/10,League,
381,UG Uro Lands,BobButtons,Maverick,Knight,D,2,0,1,33,52%,4%,60%,4/10,League,
382,UG Uro Lands,caramel919,Omnishow,Show & Tell,D,1,2,0,30,40%,4%,50%,4/10,League,
383,UG Uro Lands,Shimpei,RUG Delver,Delver,D,1,2,0,111,58%,14%,50%,4/10,League,
384,BUG Lands,CoolUser,Omnishow,Show & Tell,P,1,2,0,30,40%,4%,40%,4/12,Tournament,
385,BUG Lands,IamActuallyLvL1,Eldrazi Stompy,Chalice,P,1,2,0,28,57%,4%,30%,4/12,Tournament,
386,BUG Lands,stainerson,Colorless Cloudpost,Big Mana,D,1,2,0,24,83%,3%,20%,4/12,Tournament,
387,Jund Lands,EronRelentless,Elves,Tribal,P,2,0,1,63,78%,8%,20%,,Practice,
388,Jund Lands,EronRelentless,Elves,Tribal,D,0,2,0,63,78%,8%,20%,,Practice,
389,Jund Lands,EronRelentless,Elves,Tribal,D,1,2,0,63,78%,8%,20%,,Practice,
390,Lurrus Jund,Shay ,Astrolabe Control,Non-W Control,P,2,1,1,59,63%,7%,,4/17,Tournament,
391,Lurrus Jund,offline,Grixis Delver,Delver,P,2,1,1,111,58%,14%,,4/17,League,
392,Lurrus Jund,sora1248,Gyruda Mill,Gyruda,P,1,2,0,4,50%,1%,,4/17,League,
393,Lurrus Jund,lylogoyf,Grixis Delver,Delver,D,2,0,1,111,58%,14%,,4/17,League,
394,Lurrus Jund,Gul_Dukat,Grixis Delver,Delver,P,0,2,0,111,58%,14%,,4/17,League,
395,Lurrus Jund,madechai,Bomberfox,Brew,P,0,2,0,125,58%,16%,,4/17,League,
396,Lurrus Jund,Ian,4c Soulherder,Brew,P,2,0,1,125,58%,16%,,4/17,Tournament,
397,Lurrus Jund,Stef C,4c Control,Non-W Control,D,2,0,1,59,63%,7%,,4/20,Tournament,
398,Lurrus Jund,sam51087,Grixis Delver,Delver,P,1,2,0,111,58%,14%,,4/21,League,
399,Lurrus Jund,Ergazpo,DETH,Brew,P,1,2,0,125,58%,16%,50%,4/21,League,
400,Lurrus Jund,StyleDoggy,Spanish Inquisition,Storm,D,2,1,1,54,35%,7%,50%,4/21,League,
401,Lurrus Jund,JOnions,4c Soulherder,Brew,D,2,0,1,125,58%,16%,50%,4/21,League,
402,Lurrus Jund,Krazylawlko,BR Reanimator,Graveyard,D,2,1,1,66,65%,8%,60%,4/21,League,
403,Lurrus Jund,Maxtortion,Painter,Painter,D,2,1,1,10,40%,1%,60%,4/21,League,
404,Lurrus Jund,bozidar2121,Burn,Burn,D,2,1,1,16,63%,2%,70%,4/21,League,
405,Lurrus Jund,Moonmadness-_-,Hogaak,Graveyard,D,2,0,1,66,65%,8%,80%,4/21,League,
406,Lurrus Jund,Garukked,Nic Fit,Nic Fit,P,2,1,1,8,88%,1%,80%,4/21,League,
407,Lurrus Jund,mcguirecj,Eldrazi Stompy,Chalice,D,1,2,0,28,57%,4%,70%,4/21,League,
408,Lurrus Jund,MistaJuJu108,Fluctuator Combo,Brew,D,2,1,1,125,58%,16%,80%,4/23,League,
409,Lurrus Jund,Caedryn,Goblins,Tribal,P,2,0,1,63,78%,8%,90%,4/23,League,
410,Lurrus Jund,luinil,Lurrus Depths,BGx Depths,D,0,2,0,16,38%,2%,80%,4/23,League,
411,Lurrus Jund,_Glow,UR Delver,Delver,D,2,1,1,111,58%,14%,80%,4/23,League,
412,Lurrus Jund,Angers,G Cloudpost,Big Mana,P,2,0,1,24,83%,3%,80%,4/23,League,
413,Lurrus Jund,Cosmo K,Maverick,Knight,D,2,1,1,33,52%,4%,80%,4/24/2020,Tournament,
414,UG Uro,yoshiwata,Death & Taxes,White Creatures,D,2,1,1,35,66%,4%,80%,4/24/2020,League,
415,UG Uro,veloc,Stryfo Pile,Non-W Control,P,2,1,1,59,63%,7%,80%,4/24/2020,League,
416,UG Uro,fishduggery,Esper Artifacts,Brew,D,2,1,1,125,58%,16%,80%,4/24/2020,League,
417,UG Uro,ORDAL,Jeskai Delver,Delver,P,2,1,1,111,58%,14%,90%,4/24/2020,League,
418,UG Uro,noa0325,Miracles,UW,D,1,2,0,41,44%,5%,80%,4/28/2020,League,
419,Lurrus Jund,Steff C,4c Control,Non-W Control,D,1,2,0,59,63%,7%,70%,4/28/2020,Tournament,
420,Lurrus Jund,jr272,ANT,Storm,D,2,1,1,54,35%,7%,80%,4/28/2020,League,
421,Lurrus Jund,dancingjesus191,Zirda Control,Brew,P,1,2,0,125,58%,16%,70%,4/28/2020,League,
422,Lurrus Jund,TheZookeeper,Lurrus Control,Brew,D,2,1,1,125,58%,16%,70%,4/28/2020,League,
423,Lurrus Jund,GoldRunner13,BUG Delver,Delver,D,2,0,1,111,58%,14%,70%,4/28/2020,League,
424,Lurrus Jund,handman173,Gyruda Mill,Gyruda,P,2,1,1,4,50%,1%,70%,4/28/2020,League,
425,UG Uro,rohuty,Jeskai Delver,Delver,P,2,0,1,111,58%,14%,70%,4/28/2020,League,
426,UG Uro,fig666,Grixis Delver,Delver,D,2,0,1,111,58%,14%,70%,4/28/2020,League,
427,UG Uro,cg240,White Weenie,Brew,P,0,2,0,125,58%,16%,60%,4/28/2020,League,
428,UG Uro,Vorticose,Omnishow,Show & Tell,D,0,2,0,30,40%,4%,60%,4/28/2020,League,
429,UG Uro,Evgen_nah,Moon Stompy,Chalice,P,0,2,0,28,57%,4%,60%,4/28/2020,League,
430,Lurrus Jund,MarySue,Elves,Tribal,P,2,0,1,63,78%,8%,60%,4/28/2020,League,
431,Lurrus Jund,naosukesamurai,Maverick,Knight,D,0,2,0,33,52%,4%,60%,4/28/2020,League,
432,Lurrus Jund,LynnChalice,Lurrus Control,Brew,D,2,0,1,125,58%,16%,60%,4/28/2020,League,
433,Lurrus Jund,sfz,UB Shadow,Brew,P,2,0,1,125,58%,16%,60%,4/28/2020,League,
434,Lurrus Jund,jfrantz,Dredge,Graveyard,P,2,0,1,66,65%,8%,60%,4/28/2020,League,
435,Karn Intuition,Marko88,Omnishow,Show & Tell,P,0,2,0,30,40%,4%,50%,4/29/2020,League,
436,Karn Intuition,Babzez,ANT,Storm,D,0,2,0,54,35%,7%,40%,4/29/2020,League,
437,Karn Intuition,LawLeague,Jeskai Delver,Delver,P,0,2,0,111,58%,14%,40%,4/29/2020,League,
438,Karn Intuition,wingerzofnc,Sneak & Show,Show & Tell,D,2,1,1,30,40%,4%,50%,4/29/2020,League,
439,Karn Intuition,EronRelentless,B Reanimate,Graveyard,P,2,0,1,66,65%,8%,60%,4/29/2020,League,
440,Lurrus Jund,Steff C,4c Control,Non-W Control,P,0,2,0,59,63%,7%,50%,4/29/2020,Tournament,
441,Lurrus Jund,cappe23,UR Delver,Delver,D,1,2,0,111,58%,14%,50%,4/29/2020,League,
442,Lurrus Jund,fig666,BUG Delver,Delver,D,2,0,1,111,58%,14%,50%,4/29/2020,League,
443,Lurrus Jund,md91,Miracles,UW,P,1,2,0,41,44%,5%,40%,4/29/2020,League,
444,Lurrus Jund,raynesobad,4c Midrange,Brew,P,1,2,0,125,58%,16%,30%,4/29/2020,League,
445,Lurrus Jund,AlphaMoyer,Blue Fox,Brew,D,2,1,1,125,58%,16%,40%,4/29/2020,League,
446,UG Uro,Toastxp,Yorion 4c Control,UW,P,0,2,0,41,44%,5%,40%,4/30/2020,Tournament,
447,UG Uro,MZBlazer,Jeskai Delver,Delver,P,2,1,1,111,58%,14%,50%,4/30/2020,Tournament,
448,UG Uro,Artur_Hawking,Miracles,UW,D,2,0,1,41,44%,5%,50%,4/30/2020,Tournament,
449,UG Uro,CNewman,Jeskai Delver,Delver,P,0,2,0,111,58%,14%,40%,4/30/2020,Tournament,
450,UG Uro,batjones22,Eldrazi Stompy,Chalice,P,2,1,1,28,57%,4%,50%,4/30/2020,Tournament,
451,UG Uro,musasabi,Lurrus Oracle Combo,Brew,P,0,2,0,125,58%,16%,50%,4/30/2020,Tournament,
452,UG Uro,Surfinbird19,ANT,Storm,D,0,2,0,54,35%,7%,40%,4/30/2020,Tournament,
453,UG Uro,helvetii,Slow Depths,BGx Depths,D,1,2,0,16,38%,2%,40%,4/30/2020,Tournament,
454,Lurrus Jund,Daize,Red Fox,Brew,D,0,2,0,125,58%,16%,40%,5/2/2020,League,
455,Lurrus Jund,F4n4t1x,Lands,Lands,P,0,2,0,14,57%,2%,30%,5/2/2020,League,
456,Lurrus Jund,iNeedASoda,Goblins,Tribal,D,2,1,1,63,78%,8%,40%,5/2/2020,League,
457,Lurrus Jund,sneakay,Yorion 4c Control,Non-W Control,D,2,0,1,59,63%,7%,40%,5/2/2020,League,
458,Lurrus Jund,shijimi,Yorion 4c Control,Non-W Control,D,1,2,0,59,63%,7%,30%,5/2/2020,League,
459,UG Uro,Bran,Bomberfox,Brew,D,1,2,0,125,58%,16%,30%,5/6/2020,Tournament,
460,UG Uro,Sangkuk,Maverick,Knight,P,0,2,0,33,52%,4%,20%,5/6/2020,Tournament,
461,Lurrus Jund,GolgariTom,BR Reanimator,Graveyard,P,2,1,1,66,65%,8%,30%,5/6/2020,Practice,
462,Lurrus Jund,Joecool1200,Yorion 4c Control,Non-W Control,D,1,2,0,59,63%,7%,30%,5/6/2020,Practice,
463,Lurrus Jund,LaurensMulligan,Lands,Lands,P,2,1,1,14,57%,2%,40%,5/12/2020,League,
464,Lurrus Jund,Chaughey,RUG Delver,Delver,D,0,2,0,111,58%,14%,40%,5/12/2020,League,
465,Lurrus Jund,Beenew,Grixis Delver,Delver,D,0,2,0,111,58%,14%,40%,5/12/2020,League,
466,Lurrus Jund,schochoo,Titanic Dryad,Brew,D,1,2,0,125,58%,16%,30%,5/12/2020,League,
467,Lurrus Jund,TheSurge,TES,Storm,D,1,2,0,54,35%,7%,20%,5/12/2020,League,
468,Lurrus Jund,Chaughey,RUG Delver,Delver,D,2,1,1,111,58%,14%,30%,5/13/2020,League,
469,Lurrus Jund,Michael_Keller,Hogaak,Graveyard,P,1,2,0,66,65%,8%,30%,5/13/2020,League,
470,Lurrus Jund,YURAI-WHITECATS,Gyruda Mill,Gyruda,P,2,1,1,4,50%,1%,40%,5/13/2020,League,
471,Lurrus Jund,Orim67,Tin Fins,Graveyard,P,1,2,0,66,65%,8%,30%,5/13/2020,League,
472,Lurrus Jund,aksekdls,Gyruda Mill,Gyruda,P,0,2,0,4,50%,1%,30%,5/13/2020,League,
473,UG Uro,BalenciaNBoba,Miracles,UW,D,0,2,0,41,44%,5%,20%,5/13/2020,League,
474,UG Uro,Antonio_MTG,Moon Stompy,Chalice,P,0,2,0,28,57%,4%,20%,5/13/2020,League,
475,UG Uro,fire10798,BR Reanimator,Graveyard,D,2,0,1,66,65%,8%,30%,5/13/2020,League,
476,UG Uro,Tikiden,Turbo Depths,BGx Depths,D,1,2,0,16,38%,2%,30%,5/13/2020,League,
477,UG Uro,popedeuce37,Dredge,Graveyard,P,2,1,1,66,65%,8%,40%,5/13/2020,League,
478,UG Uro,Lpettro,Lutri Pox,Brew,D,2,0,1,125,58%,16%,40%,5/13/2020,League,
479,Jund Lands,IcedDarjeeling,UW Landstill,Brew,D,1,2,0,125,58%,16%,,5/20,League,
480,Jund Lands,Stone-Beard,Sneak & Show,Show & Tell,P,2,1,1,30,40%,4%,,5/20,League,
481,Jund Lands,MonsterCC,Merfolk,Tribal,D,2,0,1,63,78%,8%,,5/20,League,
482,Jund Lands,MeanBlackBird,Maverick,Knight,P,2,0,1,33,52%,4%,,5/20,League,
483,Jund Lands,jfrantz,BR Reanimator,Graveyard,P,2,0,1,66,65%,8%,,5/20,League,
484,Jund Lands,Karaz4,Tezzerator,Brew,P,1,2,0,125,58%,16%,,5/21,League,
485,Jund Lands,Ozymandius96,Elves,Tribal,P,0,2,0,63,78%,8%,,5/21,League,
486,Jund Lands,NewHJ,BR Reanimator,Graveyard,D,2,1,1,66,65%,8%,,5/21,League,
487,Jund Lands,damatoexp,ANT,Storm,D,1,2,0,54,35%,7%,,5/21,League,
488,Jund Lands,BagelsvilleUSA,Mono U Delver,Delver,P,2,1,1,111,58%,14%,60%,5/21,League,
489,Jund Lands,xJCloud,Gyruda Depths,Brew,P,1,2,0,125,58%,16%,60%,5/21,League,
490,Jund Lands,Kuhb,TES,Storm,D,1,2,0,54,35%,7%,50%,5/21,League,
491,Jund Lands,Michael_Keller,Nic Fit,Nic Fit,D,2,0,1,8,88%,1%,50%,5/21,League,
492,Jund Lands,wonderPreaux,ANT,Storm,D,0,2,0,54,35%,7%,40%,5/21,League,
493,Jund Lands,sleepingorjumpint777,TES,Storm,D,2,0,1,54,35%,7%,40%,5/21,League,
494,Jund Lands,Negator77,Turbo Depths,BGx Depths,D,2,0,1,16,38%,2%,50%,5/21,League,
495,Jund Lands,k1x,Infect,Infect,P,2,0,1,10,60%,1%,60%,5/21,League,
496,Jund Lands,danielnunes,Slivers,Tribal,P,1,2,0,63,78%,8%,50%,5/21,League,
497,Jund Lands,MacroMonarch,Esper Vial,White Creatures,P,0,2,0,35,66%,4%,50%,5/21,League,
498,Jund Lands,ZackyChan,Nic Fit,Nic Fit,P,2,0,1,8,88%,1%,50%,5/21,League,
499,Jund Lands,Sarustra,TES,Storm,D,2,1,1,54,35%,7%,60%,5/22,League,
500,Jund Lands,vtml1984,RUG Delver,Delver,D,2,0,1,111,58%,14%,70%,5/22,League,
501,Jund Lands,Nady,Goblins,Tribal,D,2,0,1,63,78%,8%,70%,5/22,League,
502,Jund Lands,Mungis,Tin Fins,Graveyard,P,0,2,0,66,65%,8%,70%,5/22,League,
503,Jund Lands,bntrusty14,BR Reanimator,Graveyard,P,2,1,1,66,65%,8%,70%,5/22,League,
504,RG Lands ,simmsey,UR Echo,Brew,D,2,0,1,125,58%,16%,70%,5/26/2020,Practice,
505,RG Lands ,hakumaru777,Ninjas,Ninjas,P,1,0,1,4,75%,1%,70%,5/26/2020,Practice,
506,Jund Lands,Ivan,Esper Delver,Delver,D,0,2,0,111,58%,14%,70%,5/26/2020,Tournament,
507,Jund Lands,DragonDayDragon,Burn,Burn,D,2,0,1,16,63%,2%,80%,5/26/2020,League,
508,Jund Lands,ZackyChan,Elves,Tribal,P,0,2,0,63,78%,8%,70%,5/26/2020,League,
509,Jund Lands,MIkepick7,Gyruda Combo,Brew,D,1,2,0,125,58%,16%,60%,5/26/2020,League,
510,Jund Lands,k1x,BR Reanimator,Graveyard,D,1,2,0,66,65%,8%,50%,5/26/2020,League,
511,Jund Lands,CReactor,RUG Delver,Delver,D,1,2,0,111,58%,14%,40%,5/26/2020,League,
512,Jund Lands,SnapMulligan,Slivers,Tribal,D,2,0,1,63,78%,8%,50%,5/26/2020,League,
513,RG Lands ,razormyth,G Cloudpost,Big Mana,P,2,1,1,24,83%,3%,50%,5/26/2020,Practice,
514,RG Lands ,Scheuni,Goblins,Tribal,D,2,1,1,63,78%,8%,50%,5/26/2020,Practice,
515,Jund Lands,norumi,BUG Loam,Brew,D,2,0,1,125,58%,16%,50%,5/26/2020,League,
516,Jund Lands,altniccolo,Bant Yorion Maverick,Brew,D,2,0,1,125,58%,16%,60%,5/26/2020,League,
517,Jund Lands,snoop-magic,Sneak & Show,Show & Tell,D,1,2,0,30,40%,4%,50%,5/27/2020,League,
518,Jund Lands,MedeaMagica,Karn Stompy,Brew,D,0,2,0,125,58%,16%,50%,5/27/2020,League,
519,Jund Lands,corugnoll,Dredge,Graveyard,D,2,0,1,66,65%,8%,60%,5/27/2020,League,
520,Jund Lands,Nathaniel,RUG Delver,Delver,P,2,0,1,111,58%,14%,70%,5/26/2020,Tournament,
521,Jund Lands,Jim,RUG Delver,Delver,P,2,0,1,111,58%,14%,80%,5/26/2020,Tournament,
522,RG Lands,Cosmo K,Food Chain,Combo-Control,P,0,2,0,7,43%,1%,,,Weekly,
523,Jund Lands,wvusoccer,BR Prison,Brew,P,2,0,1,125,58%,16%,,,League,
524,RG Lands,Mox Kevlar,Death & Taxes,White Creatures,P,2,0,1,35,66%,4%,,6/25,Practice,
525,RG Lands,Steff,RUG Delver,Delver,P,1,2,0,111,58%,14%,,6/25,Tournament,
526,RG Lands,exon,Bant Untap,Brew,D,2,1,1,125,58%,16%,,6/25,Practice,
527,RG Lands,Josh,Doomsday,Doomsday,P,2,1,1,19,58%,2%,,6/27,Tournament,
528,RG Lands,Nick C,Esper Vial,White Creatures,P,0,2,0,35,66%,4%,,6/27,Tournament,
529,RG Lands,Rob,Yorion Cat,Brew,P,2,1,1,125,58%,16%,,7/2,Tournament,
530,RG Lands,Martin,Goblins,Tribal,D,2,0,1,63,78%,8%,,7/7,Tournament,
531,RG Lands,Ivan M,Infect,Infect,D,2,0,1,10,60%,1%,70%,7/9,Tournament,
532,Jund Lands,2radMTG,Elves,Tribal,D,2,0,1,63,78%,8%,80%,7/9,League,
533,Jund Lands,Joraga,Elves,Tribal,P,2,1,1,63,78%,8%,80%,7/9,League,
534,Jund Lands,OnDutyMedic,Goblins,Tribal,D,2,0,1,63,78%,8%,80%,7/9,League,
535,Jund Lands,Theinertmas,UR Delver,Delver,D,2,0,1,111,58%,14%,90%,7/9,League,
536,Jund Lands,-jax-,W Eldrazi,White Creatures,D,2,1,1,35,66%,4%,90%,7/9,League,
537,Jund Lands,NICKBALZ,Sneak & Show,Show & Tell,P,0,2,0,30,40%,4%,80%,7/10,Practice,
538,Jund Lands,Kevin C,Elves,Tribal,P,2,1,1,63,78%,8%,90%,7/13,Weekly,
539,Jund Lands,Michael C,Infect,Infect,D,2,0,1,10,60%,1%,90%,7/13,Weekly,
540,Jund Lands,Nishant,Goblins,Tribal,D,2,0,1,63,78%,8%,90%,7/13,Weekly,
541,Jund Lands,thelegitpony666,ANT,Storm,P,1,2,0,54,35%,7%,80%,7/16,League,
542,Jund Lands,BananasThrower,TES,Storm,P,0,2,0,54,35%,7%,70%,7/16,League,
543,Jund Lands,pepa,Urza,Brew,P,0,2,0,125,58%,16%,60%,7/16,League,
544,Jund Lands,Rexplosion,Elves,Tribal,D,2,1,1,63,78%,8%,60%,7/16,League,
545,Jund Lands,UsaZ,Urza,Brew,P,2,0,1,125,58%,16%,60%,7/16,League,
546,Jund Lands,BananOlaf,TES,Storm,P,1,2,0,54,35%,7%,50%,7/18,Tournament,
547,Jund Lands,subesube0417,RUG Delver,Delver,D,2,0,1,111,58%,14%,60%,7/18,Tournament,
548,Jund Lands,jfrantz,BR Reanimator,Graveyard,D,2,0,1,66,65%,8%,60%,7/18,Tournament,
549,Jund Lands,Overhaul,Nic Fit,Nic Fit,D,2,0,1,8,88%,1%,60%,7/18,Tournament,
550,Jund Lands,habsburger,Bant NO,Brew,D,1,2,0,125,58%,16%,50%,7/18,Tournament,
551,Jund Lands,abuufnar,Eldrazi Stompy,Chalice,D,2,1,1,28,57%,4%,60%,7/18,Tournament,
552,Jund Lands,Carlos,Humans,Tribal,D,2,0,1,63,78%,8%,70%,7/20/2020,Weekly,
553,Jund Lands,Tom C,Grixis Delver,Delver,P,2,1,1,111,58%,14%,80%,7/20/2020,Weekly,
554,Jund Lands,Anthony G,Dryad Stompy,Brew,P,0,2,0,125,58%,16%,70%,7/20/2020,Weekly,
555,Jund Lands,motown4,Ninjas,Ninjas,D,2,1,1,4,75%,1%,70%,7/28/2020,Practice,
556,Jund Lands,Bedell,TES,Storm,P,2,1,1,54,35%,7%,80%,7/31/2020,League,
557,Jund Lands,SolMBA_Airwave,Goblins,Tribal,D,2,1,1,63,78%,8%,80%,7/31/2020,League,
558,Jund Lands,Michael_Keller,Restore Balance,Brew,D,2,1,1,125,58%,16%,80%,7/31/2020,League,
559,Jund Lands,saku_JP,4c Control,Non-W Control,D,2,0,1,59,63%,7%,80%,7/31/2020,League,
560,Jund Lands,lol4realz,Urza,Brew,D,2,1,1,125,58%,16%,90%,7/31/2020,League,
561,Jund Lands,AJ,BUG Control,Non-W Control,P,2,0,1,59,63%,7%,90%,8/1/2020,Weekly,
562,Jund Lands,Chris Tucker,UWx Stoneblade,UW,D,2,1,1,41,44%,5%,90%,8/1/2020,Weekly,
563,Jund Lands,Carlos,Humans,Tribal,D,2,1,1,63,78%,8%,90%,8/1/2020,Weekly,
564,Jund Lands,IOK,Astrolabe Control,Non-W Control,P,2,0,1,59,63%,7%,100%,8/6/2020,Practice,
565,Jund Lands,Cherubino,Urza,Brew,P,1,2,0,125,58%,16%,90%,8/7/2020,League,
566,Jund Lands,pinkfrosting,Sneak & Show,Show & Tell,D,0,2,0,30,40%,4%,80%,8/7/2020,League,
567,Jund Lands,Xenowan,Belcher,Storm,D,1,2,0,54,35%,7%,70%,8/7/2020,League,
568,Jund Lands,Stryfo,Stryfo Pile,Non-W Control,D,0,2,0,59,63%,7%,60%,8/7/2020,League,
569,Jund Lands,Ripperoni,Eggs,Brew,P,2,0,1,125,58%,16%,60%,8/7/2020,League,
570,Jund Lands,AJ,BUG Control,Non-W Control,D,2,1,1,59,63%,7%,60%,8/10/2020,Weekly,
571,Jund Lands,Gavin,Burn,Burn,D,2,0,1,16,63%,2%,60%,8/10/2020,Weekly,
572,Jund Lands,Josh W,Ninjas,Ninjas,D,2,1,1,4,75%,1%,60%,8/10/2020,Weekly,
573,Jund Lands,playitbogart,RUG Delver,Delver,P,1,2,0,111,58%,14%,50%,8/11/2020,League,
574,Jund Lands,seijim2,Grixis Delver,Delver,D,2,0,1,111,58%,14%,50%,8/11/2020,League,
575,Jund Lands,kirstuv,Deadguy Ale,Brew,D,2,1,1,125,58%,16%,60%,8/11/2020,League,
576,Jund Lands,Maniac3130,RUG Delver,Delver,P,1,2,0,111,58%,14%,60%,8/11/2020,League,
577,Jund Lands,Bloodraven7,Burn,Burn,D,0,2,0,16,63%,2%,60%,8/11/2020,League,
578,Jund Lands,Kikaru,Turbo Depths,BGx Depths,D,2,1,1,16,38%,2%,70%,8/16/2020,Tournament,
579,Jund Lands,SonOfAres,Colorless Cloudpost,Big Mana,P,2,1,1,24,83%,3%,70%,8/16/2020,Tournament,
580,Jund Lands,weluckyfew,Esper Vial,White Creatures,P,2,0,1,35,66%,4%,70%,8/16/2020,Tournament,
581,Jund Lands,markpenaflorida,RUG Delver,Delver,P,2,0,1,111,58%,14%,70%,8/16/2020,Tournament,
582,Jund Lands,Mzfroste,RUG Delver,Delver,P,0,2,0,111,58%,14%,60%,8/16/2020,Tournament,
583,Jund Lands,makoeyesX,Slow Depths,BGx Depths,D,0,2,0,16,38%,2%,60%,8/16/2020,Tournament,
584,Jund Lands,prepare4robots,Doomsday,Doomsday,D,0,2,0,19,58%,2%,50%,8/16/2020,Tournament,
585,Jund Lands,Gavin,UR Delver,Delver,D,1,2,0,111,58%,14%,40%,8/17/2020,Weekly,
586,Jund Lands,Kevin K,UWx Stoneblade,UW,D,2,0,1,41,44%,5%,50%,8/17/2020,Weekly,
587,Jund Lands,Josh W,GW Depths,GW Depths,P,1,2,0,4,50%,1%,50%,8/17/2020,Weekly,
588,Jund Lands,Josh W,GW Depths,GW Depths,D,0,2,0,4,50%,1%,40%,8/24/2020,Weekly,
589,Jund Lands,Nishant,Goblins,Tribal,D,2,1,1,63,78%,8%,40%,8/24/2020,Weekly,
590,RG Lands,Cyriius,Miracles,UW,P,1,2,0,41,44%,5%,30%,9/6/2020,League,
591,RG Lands,stevemlp,Omnishow,Show & Tell,D,1,2,0,30,40%,4%,20%,9/6/2020,League,
592,Jund Lands,AJ,Goblins,Tribal,P,2,1,1,63,78%,8%,30%,9/8/2020,Weekly,
593,Jund Lands,Nishant,Goblins,Tribal,D,2,0,1,63,78%,8%,40%,9/8/2020,Weekly,
594,RG Lands,DrPP,Hogaak,Graveyard,D,1,2,0,66,65%,8%,40%,9/10/2020,League,
595,RG Lands,Kuranari-Jackpa,Hogaak,Graveyard,D,2,1,1,66,65%,8%,50%,9/10/2020,League,
596,RG Lands,TERANO,Turbo Depths,BGx Depths,P,0,2,0,16,38%,2%,40%,9/10/2020,League,
597,RG Lands,EeyoreLiberated,Moon Stompy,Chalice,D,1,0,1,28,57%,4%,50%,9/12/2020,Practice,
598,RG Lands,Dipstud,G Cloudpost,Big Mana,D,2,0,1,24,83%,3%,60%,9/13/2020,Practice,
599,BUGr Lands,Kevin K,UWx Stoneblade,UW,D,1,2,0,41,44%,5%,50%,9/14/2020,Weekly,
600,BUGr Lands,Carlos,Deadguy Ale,Brew,P,2,0,1,125,58%,16%,60%,9/14/2020,Weekly,
601,BUGr Lands,Josh W,Doomsday,Doomsday,P,0,2,0,19,58%,2%,60%,9/14/2020,Weekly,
602,RG Lands,DrElbows,RUG Delver,Delver,D,2,0,1,111,58%,14%,60%,9/15/2020,Practice,
603,RG Lands,wizardpasta,TES,Storm,D,0,2,0,54,35%,7%,50%,9/18/2020,Practice,
604,RG Lands,joshy26247,RUG Delver,Delver,P,1,2,0,111,58%,14%,50%,9/18/2020,Practice,
605,RG Lands,Nishant,Goblins,Tribal,P,2,1,1,63,78%,8%,50%,9/21/2020,Weekly,
606,RG Lands,Kevin K,UWx Stoneblade,UW,D,1,2,0,41,44%,5%,50%,9/21/2020,Weekly,
607,Jund Lands,insie,Lands,Lands,D,2,0,1,14,57%,2%,50%,9/30/2020,Practice,
608,Jund Lands,NHA37,Hogaak,Graveyard,P,2,1,1,66,65%,8%,50%,10/3/2020,League,
609,Jund Lands,DEANmachine,Burn,Burn,D,2,0,1,16,63%,2%,60%,10/3/2020,League,
610,Jund Lands,MeanBlackBird,Maverick,Knight,D,2,0,1,33,52%,4%,60%,10/3/2020,League,
611,Jund Lands,Pmizz,Hogaak,Graveyard,D,2,0,1,66,65%,8%,70%,10/3/2020,League,
612,Jund Lands,suckmywally,Doomsday,Doomsday,P,0,2,0,19,58%,2%,60%,10/3/2020,League,
613,Jund Lands,AJ,Ruby Storm,Storm,P,1,2,0,54,35%,7%,60%,10/5/2020,Weekly,
614,Jund Lands,Gavin,UWx Stoneblade,UW,P,0,2,0,41,44%,5%,60%,10/5/2020,Weekly,
