ID,My Deck,Opponent,Opp Deck,Opp Category,Play / Draw,Wins,Losses,Match Wins,Tot. Matches,Win Rate,Meta % (Leagues),Rolling Average,Date,Tournament,Comment
175,Jund Lands,garbageaggro,Underworld Breach,Storm,P,2,0,1,54,35%,7%,50%,3/4,League,
176,Jund Lands,Nocioni88,4c Loam,Knight,P,2,1,1,33,52%,4%,50%,3/4,League,
177,BUG Lands,martyr1207,UR Delver,Delver,P,1,2,0,111,58%,14%,50%,3/5,League,
178,BUG Lands,AbsolutFlipz,UB Shadow,Brew,P,2,1,1,125,58%,16%,60%,3/5,League,
179,BUG Lands,Stryfo,Stryfo Pile,Non-W Control,P,2,0,1,59,63%,7%,60%,3/5,League,
180,BUG Lands,argonplatypus,Jund,Jund,P,2,1,1,3,100%,0%,70%,3/5,League,
181,BUG Lands,Ehefner,Belcher,Storm,D,0,2,0,54,35%,7%,60%,3/5,League,
182,Jund Lands,Dustin,UR Delver,Delver,P,0,2,0,111,58%,14%,60%,3/4,Weekly,
183,Jund Lands,Josh W,Maverick,Knight,D,1,2,0,33,52%,4%,50%,3/4,Weekly,
184,Jund Lands,Maxwell,Death & Taxes,White Creatures,P,2,0,1,35,66%,4%,60%,3/4,Weekly,
185,BUG Lands,Hiyori9,Underworld Breach,Storm,D,1,2,0,54,35%,7%,50%,3/6,League,
186,BUG Lands,tomjab,Moon Stompy,Chalice,P,1,2,0,28,57%,4%,40%,3/6,League,
187,BUG Lands,sausagecat,RUG Delver,Delver,D,2,1,1,111,58%,14%,50%,3/6,League,
188,BUG Lands,victor2,BUG Vial,Brew,D,2,1,1,125,58%,16%,50%,3/6,League,
189,BUG Lands,glaciersix,4c Loam,Knight,D,1,2,0,33,52%,4%,40%,3/6,League,rotate for fetch lands is often better than rotating for a mana-source land
190,RG Lands,nukelaunch,Maverick,Knight,P,2,0,1,33,52%,4%,40%,3/7,League,
191,RG Lands,Ecoscuro,Colorless Cloudpost,Big Mana,D,1,2,0,24,83%,3%,40%,3/7,League,
192,RG Lands,wangyaguang453,Lands,Lands,P,2,0,1,14,57%,2%,50%,3/7,League,
193,RG Lands,dougrsantos,Infect,Infect,P,1,2,0,10,60%,1%,50%,3/7,League,
194,RG Lands,Tyerube1618,Underworld Breach,Storm,P,1,2,0,54,35%,7%,40%,3/7,League,
195,BUG Lands,Caleb,RB Reanimate,Brew,D,2,0,1,125,58%,16%,50%,3/8,Weekly,
196,BUG Lands,Logan K,BUG Control,Non-W Control,D,2,0,1,59,63%,7%,60%,3/8,Weekly,
197,BUG Lands,Josh W,Doomsday,Doomsday,D,2,0,1,19,58%,2%,60%,3/8,Weekly,
198,BUG Lands,Adam T,Pox,Pox,D,2,0,1,3,100%,0%,60%,3/8,Weekly,
199,Jund Lands,J.A.Eliso,Moon Stompy,Chalice,P,2,1,1,28,57%,4%,,3/11,League,
200,Jund Lands,TheStyle,BUG Control,Non-W Control,D,2,0,1,59,63%,7%,,3/11,League,
201,Jund Lands,azymk1231,RUG Delver,Delver,D,2,1,1,111,58%,14%,,3/11,League,
202,Jund Lands,B4nn3d22,Doomsday,Doomsday,P,2,1,1,19,58%,2%,,3/11,League,
203,Jund Lands,silviawataru,RUG Delver,Delver,P,2,1,1,111,58%,14%,,3/11,League,
204,BUG Lands,Nate C,B Reanimate,Graveyard,P,2,1,1,66,65%,8%,,3/11,Weekly,
205,BUG Lands,Kyle,Survivalless,Brew,P,2,0,1,125,58%,16%,,3/11,Weekly,
206,BUG Lands,Peter C,Death & Taxes,White Creatures,P,2,0,1,35,66%,4%,,3/11,Weekly,
207,Jund Lands,PeteLaak,ANT,Storm,P,2,0,1,54,35%,7%,,3/12,League,
208,Jund Lands,Koke_MTG,4c Loam,Knight,D,2,1,1,33,52%,4%,100%,3/12,League,
209,Jund Lands,pistachov,Hogaak,Graveyard,P,0,2,0,66,65%,8%,90%,3/12,League,
210,Jund Lands,bananamank,Infect,Infect,P,2,0,1,10,60%,1%,90%,3/12,League,
211,Jund Lands,wentzepisepi,UR Delver,Delver,D,2,0,1,111,58%,14%,90%,3/12,League,
212,Dune Lands,Cwoj,Doomsday,Doomsday,P,1,2,0,19,58%,2%,80%,3/12,League,
213,Dune Lands,MercSavage,Death & Taxes,White Creatures,P,0,2,0,35,66%,4%,70%,3/12,League,
214,Dune Lands,CB3,Elves,Tribal,D,2,1,1,63,78%,8%,70%,3/12,League,
215,Dune Lands,Clabian,Colorless Cloudpost,Big Mana,D,2,0,1,24,83%,3%,70%,3/12,League,
216,Dune Lands,ironclaw2016,Belcher,Storm,P,1,2,0,54,35%,7%,60%,3/12,League,
217,Daze Lands,homhom86,RUG Delver,Delver,P,0,2,0,111,58%,14%,50%,3/13,League,
218,Daze Lands,Lagavulin,Hogaak,Graveyard,P,0,2,0,66,65%,8%,40%,3/13,League,
219,Daze Lands,SorboOne,Omnishow,Show & Tell,P,2,1,1,30,40%,4%,50%,3/13,League,
220,Daze Lands,cadaverousbloomer,Curse Prison,Brew,P,2,0,1,125,58%,16%,50%,3/13,League,
221,Daze Lands,WillyBzzz,Phoenix Delver,Brew,P,1,2,0,125,58%,16%,40%,3/13,League,
222,Jund Lands,Maniac3130,Grixis Delver,Delver,P,0,2,0,111,58%,14%,40%,3/15/2020,League,
223,Jund Lands,SaberLG,UR Delver,Delver,D,0,2,0,111,58%,14%,40%,3/15/2020,League,
224,Jund Lands,aurose121,RUG Delver,Delver,P,1,2,0,111,58%,14%,30%,3/16/2020,League,
225,Jund Lands,Cherboi,Stryfo Pile,Non-W Control,P,2,0,1,59,63%,7%,30%,3/16/2020,League,
226,Jund Lands,BoostersDraught,Eldrazi Stompy,Chalice,P,2,1,1,28,57%,4%,40%,3/16/2020,League,
227,Jund Lands,MomsBasementStreams,UR Delver,Delver,D,2,1,1,111,58%,14%,50%,3/16/2020,League,
228,Jund Lands,nevilshute,Doomsday,Doomsday,D,2,0,1,19,58%,2%,60%,3/16/2020,League,
229,Jund Lands,FinFas,Elves,Tribal,P,2,0,1,63,78%,8%,60%,3/16/2020,League,
230,Jund Lands,DNEELEY,Chalice Titan,Brew,P,1,2,0,125,58%,16%,50%,3/16/2020,League,
231,Jund Lands,Ozymandius17,4c Control,Non-W Control,P,0,2,0,59,63%,7%,50%,3/16/2020,League,
232,Jund Lands,SHAKELION,Omnishow,Show & Tell,P,0,2,0,30,40%,4%,50%,3/16/2020,League,
233,Jund Lands,KeeperX,DETH,Brew,P,2,1,1,125,58%,16%,60%,3/16/2020,League,
234,Jund Lands,Tirentu,Slow Depths,BGx Depths,P,1,2,0,16,38%,2%,60%,3/16/2020,League,
235,Jund Lands,Dano21,BR Reanimator,Graveyard,P,1,2,0,66,65%,8%,50%,3/16/2020,League,
236,Jund Lands,chenstein9,RUG Delver,Delver,P,2,0,1,111,58%,14%,50%,3/16/2020,League,
237,Jund Lands,Samu_27,RUG Delver,Delver,D,2,0,1,111,58%,14%,50%,3/18/2020,League,
238,Jund Lands,danielnunes,Slivers,Tribal,D,2,0,1,63,78%,8%,50%,3/18/2020,League,
239,Jund Lands,solnox,Goblins,Tribal,P,0,2,0,63,78%,8%,40%,3/18/2020,League,
240,Jund Lands,akasher,UR Delver,Delver,P,2,1,1,111,58%,14%,50%,3/18/2020,League,
241,Jund Lands,eldub,Grixis Delver,Delver,P,2,0,1,111,58%,14%,60%,3/18/2020,League,
242,Jund Lands,btraut,BR Reanimator,Graveyard,P,2,1,1,66,65%,8%,70%,3/18/2020,League,
243,Jund Lands,Yokel,ANT,Storm,D,0,2,0,54,35%,7%,60%,3/18/2020,League,
244,Jund Lands,ironclaw2016,Belcher,Storm,P,0,2,0,54,35%,7%,60%,3/18/2020,League,
245,Jund Lands,Bedell,Death & Taxes,White Creatures,D,2,0,1,35,66%,4%,70%,3/18/2020,League,
246,Jund Lands,Miscanthus,ANT,Storm,D,1,2,0,54,35%,7%,60%,3/18/2020,League,
247,Jund Lands,kanican,4c Urza,Brew,D,2,0,1,125,58%,16%,60%,3/19/2020,League,
248,Jund Lands,JPA93,Sneak & Show,Show & Tell,D,0,2,0,30,40%,4%,50%,3/19/2020,League,
249,Jund Lands,Turn1Vial,Elves,Tribal,D,2,0,1,63,78%,8%,60%,3/19/2020,League,
250,Jund Lands,burrarun,BUG Delver,Delver,D,0,2,0,111,58%,14%,50%,3/19/2020,League,
251,Jund Lands,renatoaraujo,BR Reanimator,Graveyard,P,2,1,1,66,65%,8%,50%,3/19/2020,League,
252,Jund Lands,Nick O,Chalice Titan,Brew,D,2,1,1,125,58%,16%,50%,3/21/2020,Tournament,
253,Jund Lands,samus_ssp,Moon Stompy,Chalice,D,2,1,1,28,57%,4%,60%,3/21/2020,League,
254,Jund Lands,aplaca,Lands,Lands,P,2,1,1,14,57%,2%,70%,3/21/2020,League,
255,Jund Lands,altona,Belcher,Storm,D,0,2,0,54,35%,7%,60%,3/21/2020,League,
256,Jund Lands,CaseyC,Chalice Titan,Brew,P,2,0,1,125,58%,16%,70%,3/21/2020,League,
257,Jund Lands,g0ld_rook,Doomsday,Doomsday,P,2,1,1,19,58%,2%,70%,3/21/2020,League,
258,Junk Lands,TheStyle,Grixis Delver,Delver,D,0,2,0,111,58%,14%,70%,3/23/2020,League,
259,Junk Lands,WatlerTheGOAT,RUG Delver,Delver,D,1,2,0,111,58%,14%,60%,3/23/2020,League,
260,Junk Lands,Kazuga,4c Loam,Knight,P,1,2,0,33,52%,4%,60%,3/23/2020,League,
261,Jund Lands,thansu,4c Control,Non-W Control,D,2,1,1,59,63%,7%,60%,3/23/2020,League,
262,Jund Lands,Hiyori9,BR Reanimator,Graveyard,D,2,0,1,66,65%,8%,60%,3/23/2020,League,
263,Jund Lands,lobster411,Sneak & Show,Show & Tell,D,2,0,1,30,40%,4%,60%,3/23/2020,League,
264,Jund Lands,jhk_,BUG Zenith Oko,Brew,D,1,2,0,125,58%,16%,50%,3/23/2020,League,
265,Jund Lands,toselluc,4c Control,Non-W Control,P,0,2,0,59,63%,7%,50%,3/23/2020,League,
266,Jund Lands,TBagTom,4c Control,Non-W Control,D,1,2,0,59,63%,7%,40%,3/23/2020,League,
267,Jund Lands,DustyG24,BR Reanimator,Graveyard,P,2,1,1,66,65%,8%,40%,3/23/2020,League,
268,Jund Lands,Stranger99,Lands,Lands,D,2,1,1,14,57%,2%,50%,3/23/2020,League,
269,Jund Lands,eldub,RUG Delver,Delver,D,0,2,0,111,58%,14%,50%,3/23/2020,League,
270,Jund Lands,-Ru_Ru-,BR Reanimator,Graveyard,P,2,1,1,66,65%,8%,60%,3/23/2020,League,
271,Jund Lands,Martin,Burn,Burn,D,0,2,0,16,63%,2%,50%,3/23/2020,Tournament,
272,Dark Queen Lands,Qernavak,MUD,Brew,D,0,2,0,125,58%,16%,40%,3/24/2020,League,
273,Dark Queen Lands,youmeandiowa,GB Reanimator,Brew,P,2,0,1,125,58%,16%,40%,3/24/2020,League,
274,Dark Queen Lands,FirstTimePlayer,4c Control,Non-W Control,D,2,0,1,59,63%,7%,50%,3/24/2020,League,
275,Dark Queen Lands,AshesAshes,BR Reanimator,Graveyard,D,0,2,0,66,65%,8%,50%,3/24/2020,League,
276,Dark Queen Lands,bumpfreak,RUG Delver,Delver,P,2,1,1,111,58%,14%,60%,3/24/2020,League,
277,Dark Queen Lands,poporon3n,Grixis Delver,Delver,P,0,2,0,111,58%,14%,50%,3/25/2020,League,
278,Dark Queen Lands,Sharkcaster_Mage,BUG Loam,Brew,D,0,2,0,125,58%,16%,40%,3/25/2020,League,
279,Dark Queen Lands,Moonmadness-_-,Hogaak,Graveyard,P,2,1,1,66,65%,8%,50%,3/25/2020,League,
280,Dark Queen Lands,riccardiocasio,W Eldrazi,White Creatures,P,2,1,1,35,66%,4%,50%,3/25/2020,League,
281,Dark Queen Lands,MK89,Worldgorger Midrange,Brew,D,1,2,0,125,58%,16%,50%,3/25/2020,League,
282,Jund Lands,rob85tx,Hogaak,Graveyard,P,0,2,0,66,65%,8%,50%,3/25/2020,League,
283,Jund Lands,isthetim,Lands,Lands,P,1,2,0,14,57%,2%,40%,3/25/2020,League,
284,Jund Lands,jfrantz,Doomsday,Doomsday,P,2,1,1,19,58%,2%,40%,3/25/2020,League,
285,Jund Lands,1yo2yo,4c Control,Non-W Control,P,1,2,0,59,63%,7%,40%,3/25/2020,League,
286,Jund Lands,HarlanMTG,Death & Taxes,White Creatures,D,1,0,1,35,66%,4%,40%,3/25/2020,League,
